Gilly-sur-Loire,GSL
Gimont Cahuzac,GAH
Gironde-sur-Dropt,GID
Gisors,GIS
Givet,GVT
Givors,GIV
Givors Canal,GIC
Gièvres,GSN
Glos - Montfort,GLO
Golfe Juan Vallauris,GLF
Golfech,GOL
Goncelin,GOC
Gonfaron,GFR
Gorges,GOE
Gourdon,GOV
Gourland,GUL
Gournay - Ferrières,GOF
Goussainville,GOU
Goxwiller,GXW
Graffenstaden,GRF
Graffenwald,GFW
Gragnague,GAG
Gramat,GRT
Grand Bourg,GBG
Grande-Synthe,GSV
Grandvillars,GND
Grandvilliers,GAR
Granville,GRV
Grasse,GRA
Gravelines,GVL
Gravigny Balizy,GBI
Grenoble,GRE
Grenoble Universités - Gières,GRS
Gresswiller,GEI
Gretz-Armainvilliers,GZT
Grigny Centre,GGG
Grigny le Sablon,LSB
Grisolles,GRI
Groisy - Thorens-Glières,GTC
Gros Noyer Saint-Prix,GNE
Groslay,GNX
Grésy-sur-Aix,GAX
Grésy-sur-Isère,TGG
Guichen - Bourg-des-Comptes,GBC
Guignicourt,GUI
Guillerval,GUE
Guimiliau,GMU
Guingamp,GGP
Gujan-Mestras,GUJ
Gundershoffen,GUF
Gunsbach - Griesbach,GSB
Guérard - La Celle-sur-Morin,GCM
Guéret,GTJ
Guéthary,GTH
Génelard,GEL
Génolhac,GNC
Générac,GEC
Habsheim,HAB
Hachette,HAC
Hagondange,HGD
Haguenau,HAG
Halsou - Larressore,HLS
Halte de Fontanil – Lycée de Drap,FLA
Haluchère Batignolles,HAD
Ham,HAM
Ham-en-Artois,HMA
Hangest-sur-Somme,HAS
Harfleur,HAF
Harfleur Halte,HRF
Hargicourt - Pierrepont,HGI
Hasenrain,HNR
Hatrize,HZE
Haubourdin,HAU
Haussmann Saint-Lazare,HSL
Haute Picardie TGV,HPI
Hautmont,HAT
Hayange,HAY
Haybes,HYM
Hazebrouck,HZK
Heiligenberg - Mollkirch,HEG
Heilles - Mouchy,HEC
Heilly,HLY
Hellemmes,HEL
Hendaye,HED
Hennebont,HEN
Herbitzheim,HBZ
Herblay,HRY
Herchies,HEE
Hermes - Berthecourt,HRB
Herny,HYI
Herrlisheim,HRL
Herrlisheim-près-Colmar,HRH
Hesdigneul-lès-Boulogne,HES
Hesdin,HSD
Hettange-Grande,HET
Hirson,HIQ
Hirson Écoles,HSO
Hochfelden,HCH
Hoelschloch,HHH
Hoenheim Tram,HMT
Hoerdt,HOD
Hoffen,HFN
Hombourg-Haut,HOH
Homécourt,HOM
Houdan,HOA
Houdemont,HDT
Houilles - Carrières-sur-Seine,HAR
Houlgate,HOE
Hundling,HDC
Hunspach,HUS
Huriel,HIL
Hyères,HYE
Hénin-Beaumont,HBE
Héricourt,HCT
Héricy,HER
Igney,IYA
Igney - Avricourt,IAZ
Igny,IGY
Ille-sur-Têt,ILL
Illfurth,IFH
Illiers-Combray,ILC
Imphy,IPY
Ingersheim Cité Scolaire,IMC
Ingrandes sur Vienne,IGR
Ingrandes-Le Fresne-sur-Loire,IGA
Ingwiller,IGW
Invalides,INV
Irigny Yvours,IRY
Is-sur-Tille,IST
Isbergues,BIO
Isles - Armentières - Congis,IAC
Issoire,ISS
Issou - Porcheville,IPO
Issoudun,ISK
Issy Val de Seine,ISP
Issy-les-Moulineaux,ISY
Issé,ISE
Istres,ISR
Iteuil,ITL
Ivry-sur-Seine,IVN
Iwuy,IWY
Jacques Monod la Demi-Lieue,JAC
Janzé,JZE
Jarnac,JCB
Jarrie - Vizille,JAV
Jarville-la-Malgrange,JAR
Jaunay-Clan,JAU
Jaux,JAX
Javel,JVL
Jeumont,JTJ
Joigny,JOI
Joigny-sur-Meuse,JGY
Joinville,JQI
Joncet,JCT
Joncherey,JYE
Jonchery-sur-Vesle,JYV
Jonzac,JOH
Jouy,JOY
Jouy-en-Josas,JAS
Joué-lès-Tours,JLT
Juan les Pins,JAE
Juvisy-sur-Orge,JYS
Juziers,JUZ
Jœuf,JOF
Kalhausen,KHS
Ker Lann,KEL
Kerhostin,KHT
Kerhuon,KHO
Kilstett,KIL
Koenigsmacker,KER
Kogenheim,KEN
Krimmeri Meinau,KRI
Kruth,KRD
Kurtzenhouse,KUR
L'Abbaye,ABJ
L'Aigle,LAE
L'Aiguille,AGF
L'Arbresle,LBL
L'Argentière Les Écrins,LEE
L'Ariane La Trinité,ATJ
L'Escarène,ESR
L'Estaque,LES
L'Herbergement - Les Brouzils,LHB
L'Hermitage - Mordelles,LHL
L'Hospitalet-près-l'Andorre,LHT
L'Hôpital-du-Grosbois,LHO
L'Isle-Adam - Parmain,IAP
L'Isle-Jourdain,LIJ
L'Isle-d'Abeau,ISA
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,LFV
L'Isle-sur-le-Doubs,ISD
L'Isthme,ISH
L'Étang-la-Ville,ELW
La Bachellerie,BHJ
La Barasse,LBC
La Barre Ormesson,LBJ
La Basse Indre - Saint-Herblain,LBI
La Bassée - Violaines,BII
La Bastide - Saint-Laurent-les-Bains,LBS
La Baule Les Pins,BFP
La Baule-Escoublac,LBE
